keyword,asin,url,ad,title,price,real_price,rating,rating_count,thumbnail_url
ipad,B0BJLBB4MV,https://www.amazon.com/Apple-2022-12-9-inch-iPad-Pro-Wi-Fi/dp/B0BJLBB4MV,False,"Apple iPad Pro 12.9-inch (6th Generation): with M2 chip, Liquid Retina XDR Display, 2TB, Wi-Fi 6E, 12MP front/12MP and 10MP Back Cameras, Face ID, All-Day Battery Life – Space Gray","$2,193.87",,4.7,978,https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B08J65DST5,https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/dp/B08J65DST5,False,"Apple 2020 iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)",$359.00,,4.9,"63,997",https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B0BVQSWJCL,https://www.amazon.com/Keyboard-Expandable-Computer-Bluetooth-Certified/dp/B0BVQSWJCL,False,"2 in 1 Tablet, 10 inch Android 11 Tablet with Keyboard 4GB+64GB+512GB Expandable Dual Camera, IPS Touch Screen Tablet Computer, WiFi, Bluetooth, Long Battery Life, Google Certified Tablet PC, Black",$79.99,,4.3,41,https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B0BTR8W14K,https://www.amazon.com/2022-Apple-iPad-10-9-inch-Wi-Fi/dp/B0BTR8W14K,False,"2022 Apple iPad (10.9-inch, Wi-Fi, 64GB) - Silver (Renewed)",,,4.6,75,https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B07XZHYLN7,https://www.amazon.com/Apple-iPad-mini-Wi-Fi-Cellular/dp/B07XZHYLN7,False,"Apple iPad Mini 5th Generation (Wi-Fi + Cellular, 64GB) - Space Gray (Renewed)",$321.99,,4.6,"2,082",https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B084BWX2SF,https://www.amazon.com/Apple-10-2-Inch-Wi-Fi-Cellular-128GB/dp/B084BWX2SF,False,"2019 Apple iPad 7th Gen (10.2 inch, Wi-Fi + Cellular, 128GB) Space Gray (Renewed)",$274.99,,4.5,172,https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B07DNM8SG9,https://www.amazon.com/Apple-Factory-Unlocked-Cellular-Refurbished/dp/B07DNM8SG9,False,"Apple iPad Air 2 128GB Factory Unlocked (Wi-Fi + Cellular 4G LTE, Space Gray) Newest Version (Renewed)",$189.99,,4.1,240,https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B07G4M8TXS,https://www.amazon.com/Apple-Generation-128GB-Silver-Refurbished/dp/B07G4M8TXS,False,"2018 Apple iPad (9.7-inch, Wi-Fi, 128GB) - Silver (Renewed)",$202.00,,4.5,642,https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B08KFJM92J,https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/dp/B08KFJM92J,False,"Apple iPad (10.2-inch, Wi-Fi, 32GB) - Gold (Latest Model, 8th Generation) (Renewed)",$234.99,$249.00,4.6,"2,490",https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B08J61FCVN,https://www.amazon.com/Apple-iPad-Air-10-9-inch-Wi-Fi-64GB/dp/B08J61FCVN,False,"Apple 2020 iPad Air (10.9-inch, Wi-Fi, 64GB) - Sky Blue (4th Generation)",$599.00,,4.8,"23,752",https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B07GSL21XV,https://www.amazon.com/Apple-IPad-WI-FI-Space-Refurbished/dp/B07GSL21XV,False,Apple IPad Air 2 WI-FI 64GB Space Gray (Renewed),$159.00,,4.5,"2,575",https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B07BKBB4N5,https://www.amazon.com/Apple-iPad-Generation-Wi-Fi-128GB/dp/B07BKBB4N5,False,"Apple iPad (5thGEneration) Wi-Fi, 128GB - Space Gray (Renewed)",$194.00,,4.6,"2,903",https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B00TREI0AW,https://www.amazon.com/Apple-MGTY2LL-128GB-Silver-Refurbished/dp/B00TREI0AW,False,"Apple iPad Air 2 MGTY2LL/A (128GB, Wi-Fi, Silver) (Renewed)",$171.87,,4.1,377,https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B07DW3W64Y,https://www.amazon.com/Apple-MGKL2LL-Wi-Fi-Space-Refurbished/dp/B07DW3W64Y,False,"Apple MGKL2LL/A iPad Air 2 64GB, Wi-Fi, (Space Gray) (Renewed)",$151.00,,4.4,"1,725",https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B00TREI0D4,https://www.amazon.com/Apple-Space-Newest-Version-Renewed/dp/B00TREI0D4,False,"Apple iPad Air 2, 16 GB, Space Gray (Renewed)",$118.99,$129.00,4.3,"3,189",https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
ipad,B09XV4D87V,https://www.amazon.com/Toddler-Children-Toddlers-1280x800-Parental/dp/B09XV4D87V,False,YINOCHE Kids Tablet 10.1 inch Android Toddler Tablet for Kids Children Tablets for Toddlers with Dual Camera 2GB 32GB ROM 1280x800 HD IPS Touch Screen Parental Control YouTube Netflix (Ice Blue),$85.99,,4.1,145,https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_UY218_.jpg
